density,loudness,brightness,roughness,speed
0.291072,0.677538,0.474583,0.248500,0.559404
0.295497,0.676848,0.474309,0.252022,0.561345
0.300412,0.676081,0.474005,0.255934,0.563502
0.305819,0.675238,0.473670,0.260239,0.565874
0.311718,0.674318,0.473304,0.264934,0.568462
0.318109,0.673321,0.472909,0.270021,0.571266
0.324991,0.672248,0.472483,0.275499,0.574285
0.332364,0.671098,0.472026,0.281368,0.577521
0.340229,0.669871,0.471539,0.287629,0.580971
0.348586,0.668568,0.471021,0.294281,0.584638
0.356943,0.667265,0.470504,0.300933,0.588304
0.365299,0.665961,0.469986,0.307585,0.591971
0.373656,0.664658,0.469469,0.314237,0.595637
0.382012,0.663355,0.468951,0.320889,0.599304
0.390369,0.662051,0.468434,0.327541,0.602970
0.398726,0.660748,0.467916,0.334193,0.606637
0.407082,0.659445,0.467399,0.340845,0.610304
0.415439,0.658142,0.466881,0.347496,0.613970
0.423796,0.656838,0.466364,0.354148,0.617637
0.432152,0.655535,0.465846,0.360800,0.621303
0.440509,0.654232,0.465329,0.367452,0.624970
0.448866,0.652928,0.464811,0.374104,0.628636
0.457222,0.651625,0.464294,0.380756,0.632303
0.465579,0.650322,0.463776,0.387408,0.635969
0.473936,0.649018,0.463259,0.394060,0.639636
0.482292,0.647715,0.462741,0.400712,0.643302
0.490649,0.646412,0.462224,0.407364,0.646969
0.499006,0.645109,0.461706,0.414016,0.650635
0.507362,0.643805,0.461189,0.420668,0.654302
0.515719,0.642502,0.460671,0.427320,0.657968
0.524076,0.641199,0.460154,0.433972,0.661635
0.532432,0.639895,0.459636,0.440624,0.665301
0.540789,0.638592,0.459119,0.447276,0.668968
0.549146,0.637289,0.458601,0.453928,0.672634
0.557502,0.635986,0.458084,0.460579,0.676301
0.565859,0.634682,0.457566,0.467231,0.679967
0.574216,0.633379,0.457049,0.473883,0.683634
0.582572,0.632076,0.456531,0.480535,0.687300
0.590929,0.630772,0.456014,0.487187,0.690967
0.599286,0.629469,0.455496,0.493839,0.694633
0.607642,0.628166,0.454979,0.500491,0.698300
0.615999,0.626862,0.454461,0.507143,0.701966
0.624355,0.625559,0.453944,0.513795,0.705633
0.632712,0.624256,0.453426,0.520447,0.709299
0.641069,0.622953,0.452909,0.527099,0.712966
0.649425,0.621649,0.452391,0.533751,0.716632
0.657782,0.620346,0.451874,0.540403,0.720299
0.666139,0.619043,0.451356,0.547055,0.723966
0.674495,0.617739,0.450839,0.553707,0.727632
0.682852,0.616436,0.450321,0.560359,0.731299
0.691209,0.615133,0.449804,0.567011,0.734965
0.699565,0.613829,0.449286,0.573663,0.738632
0.707922,0.612526,0.448769,0.580314,0.742298
0.716279,0.611223,0.448251,0.586966,0.745965
0.724635,0.609920,0.447734,0.593618,0.749631
0.732992,0.608616,0.447216,0.600270,0.753298
0.741349,0.607313,0.446699,0.606922,0.756964
0.749705,0.606010,0.446181,0.613574,0.760631
0.758062,0.604706,0.445664,0.620226,0.764297
0.766419,0.603403,0.445146,0.626878,0.767964
0.774775,0.602100,0.444629,0.633530,0.771630
0.783132,0.600797,0.444111,0.640182,0.775297
0.791489,0.599493,0.443594,0.646834,0.778963
0.799845,0.598190,0.443076,0.653486,0.782630
0.808202,0.596887,0.442559,0.660138,0.786296
0.816559,0.595583,0.442041,0.666790,0.789963
0.824915,0.594280,0.441524,0.673442,0.793629
0.833272,0.592977,0.441006,0.680094,0.797296
0.841416,0.591715,0.440611,0.686563,0.800807
0.849050,0.590552,0.440508,0.692596,0.803945
0.856173,0.589489,0.440698,0.698192,0.806709
0.862786,0.588525,0.441181,0.703351,0.809101
0.868889,0.587660,0.441956,0.708072,0.811119
0.874482,0.586894,0.443025,0.712357,0.812765
0.879565,0.586228,0.444386,0.716205,0.814037
0.884137,0.585661,0.446040,0.719615,0.814935
0.888199,0.585193,0.447986,0.722589,0.815461
0.891750,0.584824,0.450226,0.725125,0.815614
0.894792,0.584555,0.452758,0.727224,0.815393
0.897323,0.584385,0.455583,0.728887,0.814799
0.899343,0.584314,0.458700,0.730112,0.813832
0.900854,0.584342,0.462111,0.730900,0.812492
0.901854,0.584470,0.465814,0.731252,0.810779
0.902344,0.584697,0.469810,0.731166,0.808692
0.902324,0.585023,0.474098,0.730643,0.806233
0.902006,0.585407,0.478558,0.729865,0.803555
0.901688,0.585792,0.483017,0.729087,0.800878
0.901370,0.586176,0.487477,0.728310,0.798201
0.901052,0.586560,0.491936,0.727532,0.795524
0.900734,0.586944,0.496396,0.726754,0.792846
0.900416,0.587328,0.500855,0.725976,0.790169
0.900098,0.587712,0.505315,0.725198,0.787492
0.899780,0.588096,0.509774,0.724421,0.784814
0.899462,0.588481,0.514234,0.723643,0.782137
0.899144,0.588865,0.518693,0.722865,0.779460
0.898827,0.589249,0.523153,0.722087,0.776782
0.898509,0.589633,0.527612,0.721310,0.774105
0.898191,0.590017,0.532071,0.720532,0.771428
0.897873,0.590401,0.536531,0.719754,0.768751
0.897555,0.590785,0.540990,0.718976,0.766073
0.897237,0.591170,0.545450,0.718198,0.763396
0.896919,0.591554,0.549909,0.717421,0.760719
0.896601,0.591938,0.554369,0.716643,0.758041
0.896283,0.592322,0.558828,0.715865,0.755364
