density,loudness,brightness,roughness,speed
0.230909,0.483672,0.319731,0.875268,0.602272
0.232411,0.483256,0.320599,0.874242,0.599320
0.234080,0.482793,0.321564,0.873102,0.596039
0.235916,0.482284,0.322626,0.871848,0.592430
0.237919,0.481729,0.323784,0.870481,0.588493
0.240089,0.481128,0.325038,0.868999,0.584229
0.242426,0.480480,0.326389,0.867403,0.579636
0.244929,0.479786,0.327836,0.865693,0.574715
0.247600,0.479046,0.329380,0.863869,0.569465
0.250438,0.478260,0.331021,0.861931,0.563888
0.253275,0.477473,0.332661,0.859993,0.558311
0.256113,0.476687,0.334302,0.858055,0.552734
0.258950,0.475900,0.335942,0.856117,0.547157
0.261788,0.475114,0.337582,0.854179,0.541580
0.264625,0.474327,0.339223,0.852241,0.536002
0.267463,0.473541,0.340863,0.850304,0.530425
0.270300,0.472754,0.342504,0.848366,0.524848
0.273138,0.471968,0.344144,0.846428,0.519271
0.275975,0.471181,0.345784,0.844490,0.513694
0.278813,0.470395,0.347425,0.842552,0.508117
0.281651,0.469609,0.349065,0.840614,0.502539
0.284488,0.468822,0.350706,0.838676,0.496962
0.287326,0.468036,0.352346,0.836738,0.491385
0.290163,0.467249,0.353986,0.834800,0.485808
0.293001,0.466463,0.355627,0.832862,0.480231
0.295838,0.465676,0.357267,0.830924,0.474654
0.298676,0.464890,0.358908,0.828987,0.469077
0.301513,0.464103,0.360548,0.827049,0.463499
0.304351,0.463317,0.362188,0.825111,0.457922
0.307188,0.462530,0.363829,0.823173,0.452345
0.310026,0.461744,0.365469,0.821235,0.446768
0.312864,0.460958,0.367109,0.819297,0.441191
0.315701,0.460171,0.368750,0.817359,0.435614
0.318539,0.459385,0.370390,0.815421,0.430036
0.321376,0.458598,0.372031,0.813483,0.424459
0.324214,0.457812,0.373671,0.811545,0.418882
0.327051,0.457025,0.375311,0.809607,0.413305
0.329889,0.456239,0.376952,0.807670,0.407728
0.332726,0.455452,0.378592,0.805732,0.402151
0.335564,0.454666,0.380233,0.803794,0.396573
0.338401,0.453879,0.381873,0.801856,0.390996
0.341239,0.453093,0.383513,0.799918,0.385419
0.344077,0.452307,0.385154,0.797980,0.379842
0.346914,0.451520,0.386794,0.796042,0.374265
0.349752,0.450734,0.388435,0.794104,0.368688
0.352589,0.449947,0.390075,0.792166,0.363110
0.355427,0.449161,0.391715,0.790228,0.357533
0.358264,0.448374,0.393356,0.788290,0.351956
0.361102,0.447588,0.394996,0.786353,0.346379
0.363939,0.446801,0.396637,0.784415,0.340802
0.366777,0.446015,0.398277,0.782477,0.335225
0.369614,0.445228,0.399917,0.780539,0.329647
0.372452,0.444442,0.401558,0.778601,0.324070
0.375290,0.443656,0.403198,0.776663,0.318493
0.378127,0.442869,0.404839,0.774725,0.312916
0.380965,0.442083,0.406479,0.772787,0.307339
0.383802,0.441296,0.408119,0.770849,0.301762
0.386640,0.440510,0.409760,0.768911,0.296184
0.389477,0.439723,0.411400,0.766973,0.290607
0.392315,0.438937,0.413041,0.765036,0.285030
0.395152,0.438150,0.414681,0.763098,0.279453
0.397990,0.437364,0.416321,0.761160,0.273876
0.400827,0.436577,0.417962,0.759222,0.268299
0.403665,0.435791,0.419602,0.757284,0.262721
0.406503,0.435005,0.421243,0.755346,0.257144
0.409340,0.434218,0.422883,0.753408,0.251567
0.412178,0.433432,0.424523,0.751470,0.245990
0.415015,0.432645,0.426164,0.749532,0.240413
0.417853,0.431859,0.427804,0.747594,0.234836
0.420690,0.431072,0.429445,0.745656,0.229258
0.423498,0.430345,0.431039,0.743655,0.223906
0.426189,0.429855,0.432448,0.741401,0.219453
0.428762,0.429603,0.433673,0.738894,0.215899
0.431218,0.429588,0.434713,0.736134,0.213245
0.433556,0.429810,0.435568,0.733120,0.211490
0.435776,0.430269,0.436238,0.729854,0.210634
0.437879,0.430966,0.436724,0.726335,0.210677
0.439864,0.431900,0.437025,0.722562,0.211620
0.441732,0.433072,0.437141,0.718537,0.213462
0.443482,0.434481,0.437072,0.714258,0.216203
0.445115,0.436127,0.436818,0.709727,0.219843
0.446630,0.438010,0.436380,0.704942,0.224383
0.448028,0.440131,0.435757,0.699904,0.229822
0.449308,0.442489,0.434949,0.694614,0.236161
0.450471,0.445085,0.433957,0.689070,0.243398
0.451516,0.447917,0.432779,0.683274,0.251535
0.452443,0.450988,0.431417,0.677224,0.260571
0.453283,0.454236,0.429916,0.670984,0.270282
0.454122,0.457484,0.428416,0.664745,0.279993
0.454961,0.460732,0.426915,0.658505,0.289703
0.455801,0.463980,0.425414,0.652266,0.299414
0.456640,0.467228,0.423913,0.646026,0.309125
0.457479,0.470476,0.422413,0.639787,0.318835
0.458319,0.473724,0.420912,0.633547,0.328546
0.459158,0.476972,0.419411,0.627308,0.338257
0.459997,0.480220,0.417910,0.621068,0.347967
0.460837,0.483468,0.416410,0.614829,0.357678
0.461676,0.486716,0.414909,0.608589,0.367389
0.462515,0.489965,0.413408,0.602350,0.377099
0.463355,0.493213,0.411907,0.596110,0.386810
0.464194,0.496461,0.410407,0.589871,0.396521
0.465033,0.499709,0.408906,0.583631,0.406231
0.465873,0.502957,0.407405,0.577392,0.415942
0.466712,0.506205,0.405905,0.571152,0.425653
0.467551,0.509453,0.404404,0.564913,0.435363
0.468391,0.512701,0.402903,0.558673,0.445074
0.469230,0.515949,0.401402,0.552434,0.454785
0.470069,0.519197,0.399902,0.546194,0.464495
0.470909,0.522445,0.398401,0.539955,0.474206
0.471748,0.525694,0.396900,0.533715,0.483917
0.472588,0.528942,0.395399,0.527476,0.493627
0.473427,0.532190,0.393899,0.521236,0.503338
0.474266,0.535438,0.392398,0.514997,0.513049
0.475106,0.538686,0.390897,0.508757,0.522759
0.475945,0.541934,0.389396,0.502518,0.532470
0.476784,0.545182,0.387896,0.496278,0.542181
0.477624,0.548430,0.386395,0.490039,0.551891
0.478463,0.551678,0.384894,0.483799,0.561602
0.479302,0.554926,0.383394,0.477559,0.571313
0.480142,0.558174,0.381893,0.471320,0.581023
0.480981,0.561423,0.380392,0.465080,0.590734
0.481820,0.564671,0.378891,0.458841,0.600445
0.482660,0.567919,0.377391,0.452601,0.610155
0.483499,0.571167,0.375890,0.446362,0.619866
0.484338,0.574415,0.374389,0.440122,0.629577
0.485178,0.577663,0.372888,0.433883,0.639287
0.486017,0.580911,0.371388,0.427643,0.648998
0.486856,0.584159,0.369887,0.421404,0.658709
0.487696,0.587407,0.368386,0.415164,0.668419
0.488535,0.590655,0.366885,0.408925,0.678130
0.489374,0.593903,0.365385,0.402685,0.687841
0.490214,0.597151,0.363884,0.396446,0.697551
0.491053,0.600400,0.362383,0.390206,0.707262
0.491892,0.603648,0.360883,0.383967,0.716973
0.492732,0.606896,0.359382,0.377727,0.726683
0.493571,0.610144,0.357881,0.371488,0.736394
0.494410,0.613392,0.356380,0.365248,0.746105
0.495250,0.616640,0.354880,0.359009,0.755815
0.496089,0.619888,0.353379,0.352769,0.765526
0.496928,0.623136,0.351878,0.346530,0.775237
0.497768,0.626384,0.350377,0.340290,0.784947
0.498607,0.629632,0.348877,0.334051,0.794658
0.499446,0.632880,0.347376,0.327811,0.804369
0.500286,0.636129,0.345875,0.321572,0.814079
0.501125,0.639377,0.344374,0.315332,0.823790
0.501964,0.642625,0.342874,0.309093,0.833501
0.502804,0.645873,0.341373,0.302853,0.843211
0.503643,0.649121,0.339872,0.296614,0.852922
0.504350,0.652225,0.338529,0.290502,0.862278
0.504791,0.655041,0.337500,0.284646,0.870923
0.504967,0.657570,0.336786,0.279046,0.878857
0.504877,0.659810,0.336386,0.273702,0.886082
0.504522,0.661763,0.336302,0.268614,0.892596
0.503901,0.663428,0.336531,0.263781,0.898399
0.503015,0.664805,0.337076,0.259205,0.903492
0.501863,0.665894,0.337935,0.254884,0.907875
0.500446,0.666696,0.339109,0.250818,0.911547
0.498763,0.667209,0.340597,0.247009,0.914509
0.496815,0.667435,0.342400,0.243456,0.916761
0.494602,0.667373,0.344518,0.240158,0.918302
0.492123,0.667023,0.346950,0.237116,0.919133
0.489378,0.666385,0.349697,0.234330,0.919253
0.486368,0.665459,0.352759,0.231800,0.918663
0.483093,0.664246,0.356135,0.229525,0.917363
0.479552,0.662744,0.359826,0.227507,0.915352
0.475878,0.661099,0.363674,0.225616,0.912986
0.472205,0.659454,0.367523,0.223725,0.910620
0.468531,0.657808,0.371371,0.221834,0.908254
0.464858,0.656163,0.375219,0.219944,0.905889
0.461184,0.654518,0.379067,0.218053,0.903523
0.457511,0.652872,0.382916,0.216162,0.901157
0.453837,0.651227,0.386764,0.214271,0.898791
0.450163,0.649582,0.390612,0.212381,0.896425
0.446490,0.647937,0.394460,0.210490,0.894059
0.442816,0.646291,0.398309,0.208599,0.891693
0.439143,0.644646,0.402157,0.206708,0.889327
0.435469,0.643001,0.406005,0.204818,0.886961
0.431795,0.641355,0.409853,0.202927,0.884595
0.428122,0.639710,0.413702,0.201036,0.882229
0.424448,0.638065,0.417550,0.199145,0.879863
0.420775,0.636419,0.421398,0.197255,0.877497
0.417101,0.634774,0.425246,0.195364,0.875131
0.413428,0.633129,0.429095,0.193473,0.872765
0.409754,0.631483,0.432943,0.191582,0.870399
0.406080,0.629838,0.436791,0.189692,0.868033
0.402407,0.628193,0.440639,0.187801,0.865668
0.398733,0.626547,0.444488,0.185910,0.863302
0.395060,0.624902,0.448336,0.184019,0.860936
0.391386,0.623257,0.452184,0.182129,0.858570
0.387712,0.621611,0.456032,0.180238,0.856204
0.384039,0.619966,0.459881,0.178347,0.853838
0.380365,0.618321,0.463729,0.176456,0.851472
0.376692,0.616675,0.467577,0.174566,0.849106
0.373018,0.615030,0.471425,0.172675,0.846740
0.369345,0.613385,0.475274,0.170784,0.844374
0.365671,0.611739,0.479122,0.168893,0.842008
0.361997,0.610094,0.482970,0.167003,0.839642
0.358324,0.608449,0.486818,0.165112,0.837276
0.354650,0.606803,0.490667,0.163221,0.834910
0.350977,0.605158,0.494515,0.161330,0.832544
0.347303,0.603513,0.498363,0.159440,0.830178
0.343629,0.601867,0.502211,0.157549,0.827812
0.339956,0.600222,0.506060,0.155658,0.825447
0.336282,0.598577,0.509908,0.153768,0.823081
0.332609,0.596932,0.513756,0.151877,0.820715
0.328935,0.595286,0.517604,0.149986,0.818349
0.325261,0.593641,0.521453,0.148095,0.815983
0.321588,0.591996,0.525301,0.146205,0.813617
0.317914,0.590350,0.529149,0.144314,0.811251
0.314241,0.588705,0.532997,0.142423,0.808885
0.310567,0.587060,0.536846,0.140532,0.806519
0.306894,0.585414,0.540694,0.138642,0.804153
0.303220,0.583769,0.544542,0.136751,0.801787
0.299546,0.582124,0.548390,0.134860,0.799421
0.295873,0.580478,0.552239,0.132969,0.797055
0.292199,0.578833,0.556087,0.131079,0.794689
0.288526,0.577188,0.559935,0.129188,0.792323
0.284852,0.575542,0.563783,0.127297,0.789957
0.281178,0.573897,0.567632,0.125406,0.787591
0.277505,0.572252,0.571480,0.123516,0.785225
0.273831,0.570606,0.575328,0.121625,0.782860
0.270158,0.568961,0.579176,0.119734,0.780494
0.266484,0.567316,0.583025,0.117843,0.778128
0.262811,0.565670,0.586873,0.115953,0.775762
0.259137,0.564025,0.590721,0.114062,0.773396
0.255463,0.562380,0.594569,0.112171,0.771030
0.252014,0.560828,0.598191,0.110415,0.768661
0.248863,0.559400,0.601511,0.108840,0.766288
0.246011,0.558097,0.604528,0.107444,0.763912
0.243458,0.556919,0.607244,0.106229,0.761531
0.241204,0.555865,0.609657,0.105194,0.759147
0.239248,0.554936,0.611769,0.104338,0.756758
0.237591,0.554131,0.613578,0.103663,0.754366
0.236233,0.553451,0.615085,0.103168,0.751970
0.235174,0.552895,0.616291,0.102853,0.749570
0.234414,0.552463,0.617194,0.102718,0.747166
0.233952,0.552157,0.617795,0.102763,0.744758
0.233789,0.551974,0.618094,0.102988,0.742346
0.233925,0.551917,0.618091,0.103394,0.739931
0.234360,0.551983,0.617786,0.103979,0.737511
0.235093,0.552175,0.617179,0.104744,0.735088
0.236125,0.552490,0.616269,0.105690,0.732660
0.237456,0.552931,0.615058,0.106816,0.730229
0.238862,0.553402,0.613771,0.107986,0.727797
0.240268,0.553874,0.612485,0.109157,0.725365
0.241674,0.554345,0.611198,0.110328,0.722933
0.243079,0.554816,0.609911,0.111498,0.720500
0.244485,0.555288,0.608624,0.112669,0.718068
0.245891,0.555759,0.607337,0.113840,0.715636
0.247296,0.556231,0.606051,0.115010,0.713204
0.248702,0.556702,0.604764,0.116181,0.710772
0.250108,0.557173,0.603477,0.117351,0.708340
0.251514,0.557645,0.602190,0.118522,0.705907
0.252919,0.558116,0.600903,0.119693,0.703475
0.254325,0.558588,0.599617,0.120863,0.701043
0.255731,0.559059,0.598330,0.122034,0.698611
0.257137,0.559530,0.597043,0.123205,0.696179
0.258542,0.560002,0.595756,0.124375,0.693746
0.259948,0.560473,0.594469,0.125546,0.691314
0.261354,0.560945,0.593183,0.126717,0.688882
0.262759,0.561416,0.591896,0.127887,0.686450
0.264165,0.561887,0.590609,0.129058,0.684018
0.265571,0.562359,0.589322,0.130229,0.681585
0.266977,0.562830,0.588035,0.131399,0.679153
0.268382,0.563302,0.586749,0.132570,0.676721
0.269788,0.563773,0.585462,0.133741,0.674289
0.271194,0.564245,0.584175,0.134911,0.671857
0.272600,0.564716,0.582888,0.136082,0.669425
0.274005,0.565187,0.581601,0.137253,0.666992
0.275411,0.565659,0.580315,0.138423,0.664560
0.276817,0.566130,0.579028,0.139594,0.662128
0.278222,0.566602,0.577741,0.140764,0.659696
0.279628,0.567073,0.576454,0.141935,0.657264
0.281034,0.567544,0.575168,0.143106,0.654831
0.282440,0.568016,0.573881,0.144276,0.652399
0.283845,0.568487,0.572594,0.145447,0.649967
0.285251,0.568959,0.571307,0.146618,0.647535
0.286657,0.569430,0.570020,0.147788,0.645103
